iteration,kernel_time_ms
0,0.068720
1,0.066760
2,0.062480
3,0.067040
4,0.051800
5,0.051840
6,0.051120
7,0.051120
8,0.052040
9,0.050960
10,0.051280
11,0.051040
12,0.052000
13,0.051120
14,0.051200
15,0.051360
16,0.051880
17,0.051520
18,0.047560
19,0.051200
20,0.051600
21,0.051520
22,0.051800
23,0.051280
24,0.051440
25,0.051240
26,0.047400
27,0.051320
28,0.052160
29,0.051360
30,0.051360
31,0.051520
32,0.052160
33,0.051480
34,0.051840
35,0.051400
36,0.052040
37,0.054520
38,0.051080
39,0.051480
40,0.052360
41,0.050840
42,0.051240
43,0.050880
44,0.051280
45,0.051080
46,0.050920
47,0.051280
48,0.051960
49,0.051320
50,0.051160
51,0.051240
52,0.051760
53,0.051640
54,0.051120
55,0.051520
56,0.051560
57,0.051240
58,0.050960
59,0.052000
60,0.051600
61,0.051600
62,0.051160
63,0.051320
64,0.051760
65,0.050800
66,0.051240
67,0.051360
68,0.052440
69,0.051160
70,0.051040
71,0.050920
72,0.051800
73,0.051120
74,0.051440
75,0.051480
76,0.052080
77,0.051560
78,0.051200
79,0.050880
80,0.051200
81,0.051440
82,0.051640
83,0.051160
84,0.051880
85,0.051280
86,0.054200
87,0.051400
88,0.051560
89,0.051120
90,0.051280
91,0.051160
92,0.051680
93,0.051320
94,0.047720
95,0.051160
96,0.051560
97,0.051360
98,0.051320
99,0.051120
100,0.051880
101,0.050880
102,0.050880
103,0.051200
104,0.052240
105,0.051720
106,0.051120
107,0.050920
108,0.051840
109,0.051400
110,0.051840
111,0.051240
112,0.051600
113,0.051600
114,0.047600
115,0.050960
116,0.051760
117,0.051560
118,0.047520
119,0.051520
120,0.051920
121,0.051480
122,0.047600
123,0.051520
124,0.051760
125,0.051440
126,0.051200
127,0.051320
128,0.052000
129,0.051160
130,0.050960
131,0.051280
132,0.051520
133,0.051200
134,0.047400
135,0.051360
136,0.051880
137,0.051440
138,0.047720
139,0.050960
140,0.051720
141,0.051720
142,0.051400
143,0.050800
144,0.051520
145,0.051200
146,0.047280
147,0.051880
148,0.051840
149,0.051480
150,0.051360
151,0.051520
152,0.051720
153,0.051200
154,0.050800
155,0.051440
156,0.051600
157,0.051080
158,0.047120
159,0.051600
160,0.051400
161,0.051480
162,0.051680
163,0.051320
164,0.051920
165,0.051440
166,0.051600
167,0.051400
